month,year,radio,mobile,total,percentage
Jul,2017,LT7 Corrientes,180,723,24.90
Jul,2017,LT8 Rosario,3309,6186,53.49
Jul,2017,LU14,4833,16404,29.46
Jul,2017,LU20 Radio Chubut,606,822,73.72
Jul,2017,LU5,282,360,78.33
Jul,2017,LV12,102,135,75.56
Jul,2017,LV16 - Río Cuarto - Córdoba,27,60,45.00
Jul,2017,LV28 Villa Maria,321,522,61.49
Jul,2017,La 2x4,1446,3171,45.60
Jul,2017,La Brújula 24 FM,36654,57327,63.94
Jul,2017,La Carretera (Allen),3711,4344,85.43
Jul,2017,La Colectiva,537,1218,44.09
Jul,2017,La Imposible,5307,10386,51.10
Jul,2017,La Mega,1686,3336,50.54
Jul,2017,La Once Diez,5943,11973,49.64
Jul,2017,La Otra,540,1128,47.87
Jul,2017,La Radio,42,90,46.67
Jul,2017,La Radio Ramallo,60,114,52.63
Jul,2017,La Red,85281,164814,51.74
Jul,2017,La Red Neuquén,402,1206,33.33
Jul,2017,La Redonda,843,1107,76.15
Jul,2017,La Retaguardia,207,417,49.64
Jul,2017,La Rocker,57,99,57.58
Jul,2017,La Romantica,879,1566,56.13
Jul,2017,La Súper,2961,4662,63.51
Jul,2017,La X,21,150,14.00
Jul,2017,La cien punto uno,1533,2328,65.85
Jul,2017,La plata,2190,3435,63.76
Jul,2017,LaBici,576,1197,48.12
Jul,2017,Lacatorce10,30,48,62.50
Jul,2017,Las voces del muro,399,966,41.30
Jul,2017,Late,22485,33438,67.24
Jul,2017,Led,2334,5376,43.42
Jul,2017,Libertad,1230,1791,68.68
Jul,2017,Lider,0,27,0.00
Jul,2017,Los 40,2316,4533,51.09
Jul,2017,Los 40 principales España,126,180,70.00
Jul,2017,MEGA 98.3 SANTA FE,33,87,37.93
Jul,2017,Madre,249,465,53.55
Jul,2017,Magna,6,30,20.00
Jul,2017,Maxima FM,642,879,73.04
Jul,2017,Megafon - Universidad Nacional de Lanús,8316,15195,54.73
Jul,2017,Meridiano,12,33,36.36
Jul,2017,Metro 95.1,127671,217767,58.63
Jul,2017,Metropolis FM,3,15,20.00
Jul,2017,Mi Ituzaingó - Radio Pública del Oeste,39,45,86.67
Jul,2017,Milenium,4974,10098,49.26
Jul,2017,Mágica,54,114,47.37
Jul,2017,Nacional - AM 870,16494,30498,54.08
Jul,2017,Nacional Córdoba,942,1422,66.24
Jul,2017,Nacional Esquel,36,72,50.00
Jul,2017,Nacional Neuquén,78,156,50.00
Jul,2017,Nacional Rock,2193,4563,48.06
Jul,2017,Nacional Rosario,6,12,50.00
Jul,2017,Nacional Santa Fé,174,447,38.93
Jul,2017,Nuestra Radio,8061,14160,56.93
Jul,2017,Océano Uruguay,6348,12654,50.17
Jul,2017,Om,102,168,60.71
Jul,2017,Onda La Superestación 107.9 Caracas,72,138,52.17
Jul,2017,Orfeo FM,1380,2391,57.72
Jul,2017,Orión,342,2067,16.55
Jul,2017,Palermo,294,531,55.37
Jul,2017,Palermo RPLM 94.7,4491,8295,54.14
Jul,2017,Panorama,90,162,55.56
Jul,2017,Paraíso 42,2559,3198,80.02
Jul,2017,Patagonia Pop,30,60,50.00
Jul,2017,Planeta Cabezón,168,375,44.80
Jul,2017,Play FM Córdoba,15,27,55.56
Jul,2017,Provincia,753,1116,67.47
Jul,2017,Pulxo 95.1,327,633,51.66
Jul,2017,Punto Cero,1206,2022,59.64
Jul,2017,Punto a punto,357,393,90.84
Jul,2017,RADIO NEF,19896,38562,51.59
Jul,2017,RCR 750 AM,474,762,62.20
Jul,2017,RLV La Voz,1464,2637,55.52
Jul,2017,RTN Radio FM 104.9,57,75,76.00
Jul,2017,Radio 2,309,426,72.54
Jul,2017,Radio Activa,2826,4347,65.01
Jul,2017,Radio Argentina,1548,2424,63.86
Jul,2017,Radio Arroba,111,222,50.00
Jul,2017,Radio Atomika,762,1308,58.26
Jul,2017,Radio Cantilo,8127,14484,56.11
Jul,2017,Radio Caput,20523,35865,57.22
Jul,2017,Radio Casilda,4629,7635,60.63
Jul,2017,Radio Ciudadana,243,645,37.67
Jul,2017,Radio Colonia,1074,1299,82.68
Jul,2017,Radio Con Aguante,3165,5571,56.81
Jul,2017,Radio Diversidad - Famaillá - Tucumán,9,18,50.00
Jul,2017,Radio Dos,126,159,79.25
Jul,2017,Radio Emergente,78,156,50.00
Jul,2017,Radio En Casa,1161,1845,62.93
Jul,2017,Radio Federal,1392,2262,61.54
Jul,2017,Radio Fish,3558,5736,62.03
Jul,2017,Radio Gráfica - Recuperando el aire,14412,26358,54.68
Jul,2017,Radio Hache,465,1239,37.53
Jul,2017,Radio ISER,450,813,55.35
Jul,2017,Radio Jai,285,846,33.69
Jul,2017,Radio KLA,864,1230,70.24
Jul,2017,Radio Libre FM,813,1800,45.17
Jul,2017,Radio Malena,102,327,31.19
Jul,2017,Radio Nacional - Uruguay,2721,4668,58.29
Jul,2017,Radio Nacional Clásica,231,570,40.53
Jul,2017,Radio Nacional Folklórica,1392,2880,48.33
Jul,2017,Radio Nacional de España,6,42,14.29
Jul,2017,Radio Nitro,465,1209,38.46
Jul,2017,Radio Noticias,3930,5070,77.51
Jul,2017,Radio Plus LA96LP,435,816,53.31
Jul,2017,Radio Presente,1329,2340,56.79
Jul,2017,Radio Punto,366,546,67.03
Jul,2017,Radio Pública,1311,2010,65.22
Jul,2017,Radio Rebelde 740,35409,68838,51.44
Jul,2017,Radio Republica,114,222,51.35
Jul,2017,Radio Semilla,558,954,58.49
Jul,2017,Radio Sentidos,183,360,50.83
Jul,2017,Radio Sur,3573,5622,63.55
Jul,2017,Radio Sí,4146,6951,59.65
Jul,2017,Radio UNP 93.1,774,1656,46.74
Jul,2017,Radio Unica,1218,2124,57.34
Jul,2017,Radio Uruguay,93,171,54.39
