month,year,radio,mobile,total,percentage
Jun,2017,Radio Atomika,858,1293,66.36
Jun,2017,Radio Belgrano Junín,21,27,77.78
Jun,2017,Radio Cantilo,6354,10881,58.40
Jun,2017,Radio Caput,19956,34494,57.85
Jun,2017,Radio Casilda,4302,7131,60.33
Jun,2017,Radio Ciudadana,327,528,61.93
Jun,2017,Radio Colonia,696,1098,63.39
Jun,2017,Radio Con Aguante,2118,3672,57.68
Jun,2017,Radio Diversidad - Famaillá - Tucumán,54,72,75.00
Jun,2017,Radio Dos,384,564,68.09
Jun,2017,Radio En Casa,1137,1908,59.59
Jun,2017,Radio Federal,1083,1707,63.44
Jun,2017,Radio Fish,1839,2922,62.94
Jun,2017,Radio Gráfica - Recuperando el aire,31731,55566,57.11
Jun,2017,Radio Hache,816,1557,52.41
Jun,2017,Radio ISER,1077,1773,60.74
Jun,2017,Radio Jai,360,672,53.57
Jun,2017,Radio KLA,1236,1680,73.57
Jun,2017,Radio Libre FM,2349,3591,65.41
Jun,2017,Radio Malena,111,237,46.84
Jun,2017,Radio Nacional - Uruguay,4680,6966,67.18
Jun,2017,Radio Nacional Clásica,648,1185,54.68
Jun,2017,Radio Nacional Folklórica,2037,3561,57.20
Jun,2017,Radio Nacional de España,45,117,38.46
Jun,2017,Radio Nitro,636,1230,51.71
Jun,2017,Radio Noticias,660,1077,61.28
Jun,2017,Radio Oreja,21,36,58.33
Jun,2017,Radio Plus LA96LP,1338,2325,57.55
Jun,2017,Radio Presente,456,717,63.60
Jun,2017,Radio Punto,288,444,64.86
Jun,2017,Radio Pública,957,1656,57.79
Jun,2017,Radio Rebelde 740,28770,59358,48.47
Jun,2017,Radio Republica,132,165,80.00
Jun,2017,Radio Semilla,129,249,51.81
Jun,2017,Radio Sentidos,264,465,56.77
Jun,2017,Radio Stereo Madriz│Somoto,21,27,77.78
Jun,2017,Radio Sur,2397,4608,52.02
Jun,2017,Radio Sí,4419,7725,57.20
Jun,2017,Radio UNP 93.1,1347,3330,40.45
Jun,2017,Radio Unica,1272,1857,68.50
Jun,2017,Radio Uruguay,207,282,73.40
Jun,2017,Radio WU,1101,1641,67.09
Jun,2017,Radio Yguazu,159,231,68.83
Jun,2017,Radio de Salón,111,180,61.67
Jun,2017,Radio y Punto,21,24,87.50
Jun,2017,Radio zónica,8607,14148,60.84
Jun,2017,RadioAsamblea,1296,2079,62.34
Jun,2017,Radiofónica,2934,5226,56.14
Jun,2017,Rivadavia,14307,27126,52.74
Jun,2017,Rock & Pop,3,9,33.33
Jun,2017,SI 91.1,1191,1980,60.15
Jun,2017,Sarandí,12627,17670,71.46
Jun,2017,Signos FM,45,60,75.00
Jun,2017,Simphony,357,624,57.21
Jun,2017,SinDial,861,1875,45.92
Jun,2017,Sol,81,129,62.79
Jun,2017,Splendid,4599,8001,57.48
Jun,2017,Sport,4257,7617,55.89
Jun,2017,Sport Casilda,2538,3609,70.32
Jun,2017,Subteradio,558,987,56.53
Jun,2017,Sudamericana,15,33,45.45
Jun,2017,TNO RADIO,12,24,50.00
Jun,2017,TRES CIUDADES,663,1137,58.31
Jun,2017,Trade Radio,126,228,55.26
Jun,2017,Trend Topic,534,768,69.53
Jun,2017,UNC CALF,690,1281,53.86
Jun,2017,UNLP AM,3225,4971,64.88
Jun,2017,UNLP FM,1416,2541,55.73
Jun,2017,Uba,1197,2112,56.68
Jun,2017,Univ. Nacional Arturo Jauretche,696,1179,59.03
Jun,2017,Universal,2157,5325,40.51
Jun,2017,Universidad Nacional de Cuyo,450,765,58.82
Jun,2017,Universidad Nacional de Rosario,4221,7545,55.94
Jun,2017,Universidad de Avellaneda (UNDAV),192,540,35.56
Jun,2017,Universidad de Córdoba,7329,13053,56.15
Jun,2017,Universidad de la Matanza,84,105,80.00
Jun,2017,Unión Radio,204,357,57.14
Jun,2017,Uno,23256,37131,62.63
Jun,2017,Visión FM 100.5,24,42,57.14
Jun,2017,Vorterix Córdoba,48,54,88.89
Jun,2017,Vorterix Rock,8061,15009,53.71
Jun,2017,Vox,171,234,73.08
Jun,2017,WAVRADIO,324,720,45.00
Jun,2017,Wen,549,960,57.19
Jun,2017,Wox,216,321,67.29
Jun,2017,radio olazabal,948,1293,73.32
Jun,2017,Éxitos,74241,97293,76.31
Mar,2017,1010 AM,19026,36900,51.56
Mar,2017,88.1 Adulto Joven,3,6,50.00
Mar,2017,91.5 WUML Lowell,6,75,8.00
Mar,2017,AM 1330,126,255,49.41
Mar,2017,AM 750,138396,322329,42.94
Mar,2017,AM 840 - Salta,78,108,72.22
Mar,2017,AM 890,342,948,36.08
Mar,2017,AM1010 Onda Latina,2823,5181,54.49
Mar,2017,AMPM FM,1905,3690,51.63
Mar,2017,Ahijuna,2508,5838,42.96
Mar,2017,Alas,1962,3618,54.23
Mar,2017,Amadeus Cultura Musical,9,39,23.08
Mar,2017,America,33,348,9.48
Mar,2017,Aspen,33,102,32.35
Mar,2017,Azul,354,609,58.13
Mar,2017,Belgrano,258,702,36.75
Mar,2017,Belgrano AM 950,1443,3477,41.50
Mar,2017,BitBox FM,36,228,15.79
Mar,2017,Blue,11640,35190,33.08
Mar,2017,Boedo,6,81,7.41
Mar,2017,Candela Pura,0,42,0.00
Mar,2017,Capital,1245,1644,75.73
Mar,2017,Cielo,2046,4506,45.41
Mar,2017,Citrica,801,1980,40.45
Mar,2017,Ciudad,0,15,0.00
Mar,2017,Classique,903,2085,43.31
Mar,2017,Con Vos,127506,290961,43.82
Mar,2017,Concepto,5367,14622,36.70
Mar,2017,Conexión Abierta,3927,8304,47.29
Mar,2017,Continental,15507,32475,47.75
Mar,2017,Continental (Córdoba),459,846,54.26
Mar,2017,Cooperativa,40857,68154,59.95
Mar,2017,Cristal Classic,12,21,57.14
Mar,2017,Cristal FM,390,576,67.71
Mar,2017,Cultura,12207,31500,38.75
Mar,2017,De la Azotea,420,705,59.57
Mar,2017,Del Plata,119694,358347,33.40
Mar,2017,Del Sol,11541,27066,42.64
Mar,2017,Delta,1035,2550,40.59
Mar,2017,Deportiva,1275,3165,40.28
Mar,2017,Disney,132,369,35.77
Mar,2017,ESPN,54,138,39.13
Mar,2017,El Espectador (Uruguay),252,669,37.67
Mar,2017,El Mundo,20583,29631,69.46
Mar,2017,El Pueblo,9,120,7.50
Mar,2017,Emisora del Sur,384,909,42.24
Mar,2017,Encuentro (Viedma),108,237,45.57
Mar,2017,Enlazador,12,36,33.33
Mar,2017,Equilibrio.Net,324,621,52.17
Mar,2017,Estación K2,114,300,38.00
Mar,2017,Estación Sur,147,324,45.37
Mar,2017,FARCO,6,33,18.18
Mar,2017,FM Blue,39,255,15.29
Mar,2017,FM Chalet - Radio Comunitaria,897,2097,42.78
Mar,2017,FM DEL CARMEN,96,138,69.57
Mar,2017,FM En Tránsito,6,9,66.67
Mar,2017,FM Fribuay,789,2097,37.63
Mar,2017,FM IMPACTO,159,273,58.24
Mar,2017,FM KAOS,1974,3714,53.15
Mar,2017,FM LA CIMA,36,117,30.77
Mar,2017,FM LATINA,6,99,6.06
Mar,2017,FM La Barriada,3,21,14.29
Mar,2017,FM La Patriada,3444,9720,35.43
Mar,2017,FM La Tecno,1083,4113,26.33
Mar,2017,FM La Tribu,2076,7080,29.32
Mar,2017,FM La Uni 91.7,237,603,39.30
Mar,2017,FM Latina,1821,3993,45.60
Mar,2017,FM RANQUEL,3,3,100.00
Mar,2017,FM Raíces Rock,1380,3396,40.64
Mar,2017,FM Riachuelo,216,294,73.47
Mar,2017,FM Riel,18,102,17.65
Mar,2017,FM Rock & Pop,24441,52695,46.38
Mar,2017,FM Secla 104.7,234,519,45.09
Mar,2017,FM Soldados,96,495,19.39
Mar,2017,FM UTN Mendoza 94.5,267,711,37.55
Mar,2017,FOX News Radio,0,12,0.00
Mar,2017,Fiesta,6,84,7.14
Mar,2017,Fisherton CNN,450,828,54.35
Mar,2017,Frecuencia Zero,495,2091,23.67
Mar,2017,Fun,63,153,41.18
Mar,2017,Futurock FM,26679,60783,43.89
Mar,2017,Galena,666,2025,32.89
Mar,2017,General Belgrano AM 840,3,33,9.09
Mar,2017,Güemes - La Futbolera,2187,4446,49.19
Mar,2017,Hot 94,63,417,15.11
Mar,2017,Impacto,111,162,68.52
Mar,2017,Keops,1413,2493,56.68
Mar,2017,LARZ,672,1977,33.99
Mar,2017,LT 9,1647,3372,48.84
Mar,2017,LT10 Radio Universidad Nacional del Litoral,564,1203,46.88
Mar,2017,LT3 Rosario,24,54,44.44
Mar,2017,LT7 Corrientes,192,327,58.72
Mar,2017,LT8 Rosario,1215,2520,48.21
Mar,2017,LU 19 - Río Negro,72,129,55.81
Mar,2017,LU14,3105,9771,31.78
Mar,2017,LU20 Radio Chubut,36,108,33.33
Mar,2017,LV12,306,696,43.97
Mar,2017,LV28 Villa Maria,390,828,47.10
Mar,2017,La 2x4,570,2094,27.22
Mar,2017,La Brújula 24 FM,16575,31224,53.08
Mar,2017,La Carretera (Allen),0,15,0.00
Mar,2017,La Colectiva,54,228,23.68
Mar,2017,La Imposible,1545,3741,41.30
Mar,2017,La Mega,57,516,11.05
Mar,2017,La Once Diez,21006,34761,60.43
Mar,2017,La Otra,0,60,0.00
Mar,2017,La Radio,36,138,26.09
Mar,2017,La Red,121551,246135,49.38
Mar,2017,La Red Neuquén,123,555,22.16
Mar,2017,La Red Rosario,48,147,32.65
Mar,2017,La Retaguardia,168,522,32.18
Mar,2017,La Romantica,414,945,43.81
Mar,2017,La Súper,1482,3213,46.13
Mar,2017,La cien punto uno,399,1134,35.19
Mar,2017,Lacatorce10,39,114,34.21
Mar,2017,Las voces del muro,333,648,51.39
Mar,2017,Late,69951,94077,74.36
Mar,2017,Led,2265,4320,52.43
Mar,2017,Lexia,0,9,0.00
Mar,2017,Libertad,12,69,17.39
Mar,2017,Los 40,1677,4032,41.59
Mar,2017,Los 40 principales España,108,237,45.57
Mar,2017,MEGA 98.3 SANTA FE,18,51,35.29
Mar,2017,Madre,147,597,24.62
Mar,2017,Maxima FM,1482,2355,62.93
Mar,2017,Maxima-Madrid,3,6,50.00
Mar,2017,Megafon - Universidad Nacional de Lanús,4539,11388,39.86
Mar,2017,Meridiano,15,39,38.46
Mar,2017,Metro 95.1,45411,113208,40.11
Mar,2017,Mi Ituzaingó - Radio Pública del Oeste,0,15,0.00
Mar,2017,Milenium,4887,12021,40.65
Mar,2017,Mágica,42,60,70.00
Mar,2017,Nacional - AM 870,76056,150426,50.56
Mar,2017,Nacional Córdoba,324,642,50.47
Mar,2017,Nacional Esquel,0,21,0.00
Mar,2017,Nacional Rock,1536,4314,35.61
Mar,2017,Nacional Rosario,3,45,6.67
Mar,2017,Nacional Santa Fé,27,267,10.11
Mar,2017,Nuestra Radio,828,2634,31.44
Mar,2017,Océano Uruguay,582,1785,32.61
Mar,2017,Om,36,72,50.00
Mar,2017,Onda Cero,3,12,25.00
Mar,2017,Onda La Superestación 107.9 Caracas,12,108,11.11
Mar,2017,Orfeo FM,3288,4425,74.31
Mar,2017,Oriental,114,207,55.07
Mar,2017,Palermo,36,300,12.00
Mar,2017,Palermo RPLM 94.7,1164,3567,32.63
Mar,2017,Patagonia Pop,24,183,13.11
Mar,2017,Pentagrama,3,15,20.00
Mar,2017,Planeta Cabezón,84,369,22.76
Mar,2017,Provincia,483,861,56.10
Mar,2017,Pulxo 95.1,117,240,48.75
Mar,2017,Punto Cero,354,1236,28.64
Mar,2017,RADIO NEF,2559,7860,32.56
Mar,2017,RAE - Argentina al mundo,18,66,27.27
Mar,2017,RCR 750 AM,273,675,40.44
Mar,2017,RLV La Voz,1332,3240,41.11
Mar,2017,RTN Radio FM 104.9,138,555,24.86
Mar,2017,Radio 2,12,114,10.53
Mar,2017,Radio Activa,90,216,41.67
Mar,2017,Radio Argentina,648,1536,42.19
Mar,2017,Radio Atomika,771,1716,44.93
Mar,2017,Radio Belgrano Junín,15,42,35.71
Mar,2017,Radio Cantilo,6144,13239,46.41
Mar,2017,Radio Caput,37908,61080,62.06
Mar,2017,Radio Casilda,5475,10257,53.38
Mar,2017,Radio Ciudadana,258,942,27.39
Mar,2017,Radio Colonia,282,1362,20.70
Mar,2017,Radio Diversidad - Famaillá - Tucumán,174,231,75.32
Mar,2017,Radio Dos,18,81,22.22
Mar,2017,Radio En Casa,78,126,61.90
Mar,2017,Radio Federal,453,1422,31.86
Mar,2017,Radio Fish,6600,9483,69.60
Mar,2017,Radio Gráfica - Recuperando el aire,22503,46944,47.94
Mar,2017,Radio ISER,42,153,27.45
Mar,2017,Radio Jai,66,222,29.73
Mar,2017,Radio KLA,327,672,48.66
Mar,2017,Radio Libre FM,3000,5829,51.47
Mar,2017,Radio Nacional - Uruguay,1461,3897,37.49
Mar,2017,Radio Nacional Clásica,573,1602,35.77
Mar,2017,Radio Nacional Folklórica,591,1959,30.17
Mar,2017,Radio Nacional de España,6,27,22.22
Mar,2017,Radio Nitro,213,720,29.58
Mar,2017,Radio Noticias,1278,2862,44.65
Mar,2017,Radio Oreja,6,30,20.00
Mar,2017,Radio Plus LA96LP,1518,3168,47.92
Mar,2017,Radio Presente,18,135,13.33
Mar,2017,Radio Pública,9,18,50.00
Mar,2017,Radio Rebelde 740,31686,66450,47.68
Mar,2017,Radio Republica,123,222,55.41
Mar,2017,Radio Semilla,144,336,42.86
Mar,2017,Radio Sentidos,120,384,31.25
Mar,2017,Radio Stereo Madriz│Somoto,6,36,16.67
Mar,2017,Radio Sur,351,1164,30.15
Mar,2017,Radio Sí,2988,6465,46.22
Mar,2017,Radio Unica,651,1521,42.80
Mar,2017,Radio Uruguay,57,153,37.25
Mar,2017,Radio WU,534,1500,35.60
Mar,2017,Radio Yguazu,30,189,15.87
Mar,2017,Radio zónica,8259,20283,40.72
Mar,2017,RadioAsamblea,273,966,28.26
Mar,2017,Radiofónica,2463,4863,50.65
Mar,2017,Rivadavia,22281,54144,41.15
Mar,2017,SI 91.1,423,1533,27.59
Mar,2017,Sarandí,660,1635,40.37
Mar,2017,Signos FM,12,63,19.05
Mar,2017,Simphony,120,273,43.96
Mar,2017,SinDial,342,951,35.96
Mar,2017,Splendid,1557,3249,47.92
Mar,2017,Sport,50415,86082,58.57
Mar,2017,Sport Casilda,1599,2952,54.17
Mar,2017,Subteradio,81,228,35.53
Mar,2017,TNO RADIO,0,24,0.00
Mar,2017,TRES CIUDADES,186,399,46.62
Mar,2017,Trade Radio,636,1140,55.79
Mar,2017,Trend Topic,207,630,32.86
Mar,2017,UNLP AM,1977,7089,27.89
Mar,2017,UNLP FM,5949,7782,76.45
Mar,2017,Uba,987,2859,34.52
Mar,2017,Univ. Nacional Arturo Jauretche,366,1491,24.55
Mar,2017,Universal,1134,2601,43.60
Mar,2017,Universidad Nacional de Cuyo,237,366,64.75
Mar,2017,Universidad Nacional de Rosario,1329,4359,30.49
Mar,2017,Universidad de Avellaneda (UNDAV),57,351,16.24
Mar,2017,Universidad de Córdoba,5148,10248,50.23
Mar,2017,Universidad de la Matanza,78,198,39.39
Mar,2017,Unión Radio,39,162,24.07
Mar,2017,Uno,9747,23910,40.77
Mar,2017,Visión FM 100.5,0,6,0.00
Mar,2017,Vorterix Rock,12939,34809,37.17
Mar,2017,Wen,2421,4734,51.14
Mar,2017,Wox,6,18,33.33
Mar,2017,radio olazabal,228,750,30.40
Mar,2017,Éxitos,2199,3996,55.03
May,2017,1010 AM,8319,10887,76.41
May,2017,91.5 WUML Lowell,6,45,13.33
May,2017,AM 1330,402,630,63.81
May,2017,AM 750,144120,282762,50.97
May,2017,AM 840 - Salta,141,186,75.81
May,2017,AM 890,582,1155,50.39
May,2017,AM1010 Onda Latina,3978,7206,55.20
May,2017,AMPM FM,579,1812,31.95
May,2017,Ahijuna,2625,4581,57.30
May,2017,Alas,10746,12981,82.78
May,2017,America,66,192,34.38
May,2017,Amistad,30,33,90.91
May,2017,Antena Libre,45,114,39.47
May,2017,Aspen,24,102,23.53
May,2017,Azul,147,243,60.49
May,2017,Belgrano,630,1170,53.85
May,2017,Belgrano AM 950,4119,9165,44.94
May,2017,BitBox FM,42,180,23.33
May,2017,Blue,9327,24390,38.24
May,2017,Cadena Ser,3,21,14.29
May,2017,Candela Pura,33,81,40.74
May,2017,Capital,243,306,79.41
May,2017,Cielo,1542,3054,50.49
May,2017,Citrica,1029,2463,41.78
May,2017,Classique,1380,3063,45.05
May,2017,Con Vos,117459,239184,49.11
May,2017,Concepto,8637,18762,46.03
May,2017,Conexión Abierta,3513,5754,61.05
May,2017,Continental,49704,68754,72.29
May,2017,Continental (Córdoba),630,831,75.81
May,2017,Cooperativa,9459,20799,45.48
May,2017,Cristal FM,201,354,56.78
May,2017,Cultura,15996,26865,59.54
May,2017,De la Azotea,144,243,59.26
May,2017,Del Mar,810,1533,52.84
May,2017,Del Plata,225231,505083,44.59
May,2017,Del Sol,17679,43272,40.86
May,2017,Delta,1101,2229,49.39
May,2017,Deportiva,921,2157,42.70
May,2017,Diez,30,75,40.00
May,2017,Disney,111,354,31.36
May,2017,ESPN,66,138,47.83
May,2017,El Desconcierto,15,57,26.32
May,2017,El Espectador (Uruguay),2604,8682,29.99
May,2017,El Mediador,1047,1389,75.38
May,2017,El Mundo,7464,14817,50.37
May,2017,El Pueblo,33,93,35.48
May,2017,Emisora del Sur,522,852,61.27
May,2017,Enlazador,12,24,50.00
May,2017,Equilibrio.Net,15,63,23.81
May,2017,Estación K2,42,57,73.68
May,2017,Estación Sur,36,96,37.50
May,2017,Eterogenia,51,264,19.32
May,2017,FM Blue,114,237,48.10
May,2017,FM Chalet - Radio Comunitaria,570,1539,37.04
May,2017,FM DEL CARMEN,657,792,82.95
May,2017,FM En Tránsito,426,1101,38.69
May,2017,FM Flores,210,387,54.26
May,2017,FM Fribuay,609,1302,46.77
May,2017,FM IMPACTO,171,273,62.64
May,2017,FM KAOS,624,1353,46.12
May,2017,FM LA CIMA,159,333,47.75
May,2017,FM La Barriada,6,21,28.57
May,2017,FM La Patriada,10704,23652,45.26
May,2017,FM La Tecno,1668,4320,38.61
May,2017,FM La Tribu,3513,8751,40.14
May,2017,FM La Uni 91.7,297,708,41.95
May,2017,FM Latina,5178,10200,50.76
May,2017,FM Raíces Rock,678,2022,33.53
May,2017,FM Riachuelo,513,825,62.18
May,2017,FM Riel,27,45,60.00
May,2017,FM Rock & Pop,5538,11070,50.03
May,2017,FM Secla 104.7,1848,3603,51.29
May,2017,FM Soldados,84,252,33.33
May,2017,FM UTN Mendoza 94.5,405,1053,38.46
May,2017,FM de la Montaña,21924,28848,76.00
May,2017,Fiesta,48,165,29.09
May,2017,Fisherton CNN,699,1005,69.55
May,2017,Fm Difusión 98.1,18,27,66.67
May,2017,Frecuencia Patagonia,12714,16719,76.05
May,2017,Frecuencia Zero,711,2481,28.66
May,2017,Fun,2394,3039,78.78
May,2017,Futurock FM,14889,34629,43.00
May,2017,Galena,300,1374,21.83
May,2017,Gen,1299,3033,42.83
May,2017,General Belgrano AM 840,21,63,33.33
May,2017,Güemes - La Futbolera,2898,4935,58.72
May,2017,Hot 94,147,270,54.44
May,2017,Impacto,156,249,62.65
May,2017,Keops,168,462,36.36
May,2017,LA BOCA,267,423,63.12
May,2017,LARZ,1374,3333,41.22
May,2017,LT 9,4311,7110,60.63
May,2017,LT10 Radio Universidad Nacional del Litoral,519,1038,50.00
May,2017,LT3 Rosario,2076,2691,77.15
May,2017,LT7 Corrientes,531,2190,24.25
May,2017,LT8 Rosario,2718,4320,62.92
May,2017,LU 19 - Río Negro,6,27,22.22
May,2017,LU14,2991,7644,39.13
May,2017,LU20 Radio Chubut,312,468,66.67
May,2017,LV12,414,606,68.32
May,2017,LV16 - Río Cuarto - Córdoba,105,117,89.74
May,2017,LV28 Villa Maria,417,729,57.20
May,2017,La 2x4,753,2268,33.20
May,2017,La Brújula 24 FM,15789,29223,54.03
May,2017,La Carretera (Allen),165,213,77.46
May,2017,La Colectiva,336,873,38.49
May,2017,La Imposible,5520,8844,62.42
May,2017,La Mega,237,855,27.72
May,2017,La Once Diez,12111,22236,54.47
May,2017,La Otra,15,57,26.32
May,2017,La Radio,24,84,28.57
May,2017,La Radio Ramallo,24,45,53.33
May,2017,La Red,151374,267618,56.56
May,2017,La Red Neuquén,768,1371,56.02
May,2017,La Red Rosario,9,42,21.43
May,2017,La Redonda,126,162,77.78
May,2017,La Retaguardia,3426,4980,68.80
May,2017,La Romantica,15336,23586,65.02
May,2017,La Súper,3969,6351,62.49
May,2017,La X,6,21,28.57
May,2017,La cien punto uno,4596,6711,68.48
May,2017,La plata,870,1428,60.92
May,2017,LaBici,606,1449,41.82
May,2017,Lacatorce10,6,24,25.00
May,2017,Las voces del muro,102,240,42.50
May,2017,Late,5793,10359,55.92
May,2017,Led,1620,3891,41.63
May,2017,Libertad,228,387,58.91
May,2017,Los 40,2493,5526,45.11
May,2017,Los 40 principales España,276,531,51.98
May,2017,Madre,945,1914,49.37
May,2017,Maxima FM,105,240,43.75
May,2017,Maxima-Madrid,3,3,100.00
May,2017,Medios del Aire,6,18,33.33
May,2017,Megafon - Universidad Nacional de Lanús,4887,10701,45.67
May,2017,Metro 95.1,66762,135198,49.38
May,2017,Milenium,7326,13788,53.13
May,2017,Mágica,117,228,51.32
May,2017,Nacional - AM 870,8619,20460,42.13
May,2017,Nacional Córdoba,1530,2394,63.91
May,2017,Nacional Neuquén,3,18,16.67
May,2017,Nacional Rock,1377,3009,45.76
May,2017,Nacional Rosario,3,78,3.85
May,2017,Nacional Santa Fé,96,351,27.35
May,2017,Nuestra Radio,13617,24180,56.32
May,2017,Océano Uruguay,3609,9834,36.70
May,2017,Om,114,195,58.46
May,2017,Onda La Superestación 107.9 Caracas,48,105,45.71
May,2017,Orfeo FM,3399,4446,76.45
May,2017,Oriental,144,171,84.21
May,2017,Orión,216,603,35.82
May,2017,Palermo,528,972,54.32
May,2017,Palermo RPLM 94.7,3048,6603,46.16
May,2017,Paraíso 42,459,600,76.50
May,2017,Patagonia Pop,15,69,21.74
May,2017,Planeta Cabezón,159,435,36.55
May,2017,Provincia,219,534,41.01
May,2017,Pulxo 95.1,3918,6570,59.63
May,2017,Punto Cero,936,1929,48.52
May,2017,RADIO NEF,27549,59838,46.04
May,2017,RCR 750 AM,207,441,46.94
May,2017,RLV La Voz,1341,2568,52.22
May,2017,RTN Radio FM 104.9,54,132,40.91
May,2017,Radio 2,105,144,72.92
May,2017,Radio Activa,2766,5118,54.04
May,2017,Radio Argentina,876,1647,53.19
May,2017,Radio Atomika,804,1683,47.77
May,2017,Radio Belgrano Junín,3,15,20.00
May,2017,Radio Cantilo,7509,13596,55.23
May,2017,Radio Caput,26955,57069,47.23
May,2017,Radio Casilda,3945,6972,56.58
May,2017,Radio Ciudadana,363,684,53.07
May,2017,Radio Colonia,120,372,32.26
May,2017,Radio Con Aguante,2844,4230,67.23
May,2017,Radio Diversidad - Famaillá - Tucumán,351,390,90.00
May,2017,Radio Dos,177,294,60.20
May,2017,Radio En Casa,891,1539,57.89
May,2017,Radio Federal,402,765,52.55
May,2017,Radio Fish,1140,1698,67.14
May,2017,Radio Gráfica - Recuperando el aire,11064,21819,50.71
May,2017,Radio Hache,156,297,52.53
May,2017,Radio ISER,279,759,36.76
May,2017,Radio Jai,756,1410,53.62
May,2017,Radio KLA,612,954,64.15
May,2017,Radio Libre FM,1614,2841,56.81
May,2017,Radio Nacional - Uruguay,1332,3078,43.27
May,2017,Radio Nacional Clásica,564,1404,40.17
May,2017,Radio Nacional Folklórica,1458,3177,45.89
May,2017,Radio Nacional de España,78,102,76.47
May,2017,Radio Nitro,192,510,37.65
May,2017,Radio Noticias,1251,2331,53.67
May,2017,Radio Oreja,57,96,59.38
May,2017,Radio Plus LA96LP,576,1287,44.76
May,2017,Radio Presente,36,171,21.05
May,2017,Radio Punto,75,120,62.50
May,2017,Radio Pública,102,279,36.56
May,2017,Radio Rebelde 740,25959,56274,46.13
May,2017,Radio Republica,51,141,36.17
May,2017,Radio Semilla,18,66,27.27
May,2017,Radio Sentidos,72,225,32.00
May,2017,Radio Sur,1242,2973,41.78
May,2017,Radio Sí,5406,9630,56.14
May,2017,Radio UNP 93.1,663,1311,50.57
May,2017,Radio Unica,708,1389,50.97
May,2017,Radio Uruguay,195,351,55.56
May,2017,Radio WU,495,1212,40.84
May,2017,Radio Yguazu,48,120,40.00
May,2017,Radio de Salón,57,267,21.35
May,2017,Radio y Punto,15,51,29.41
May,2017,Radio zónica,4038,9858,40.96
May,2017,RadioAsamblea,621,1125,55.20
May,2017,Radiofónica,3162,5433,58.20
May,2017,Red Aleluya,15,33,45.45
May,2017,Rivadavia,9012,19827,45.45
May,2017,SI 91.1,657,1257,52.27
May,2017,Sarandí,17703,30228,58.56
May,2017,Simphony,249,483,51.55
May,2017,SinDial,492,1380,35.65
May,2017,Sol,1842,2142,85.99
May,2017,Splendid,3588,6234,57.56
May,2017,Sport,32763,64254,50.99
May,2017,Sport Casilda,1431,2310,61.95
May,2017,Subteradio,1092,1938,56.35
May,2017,Sudamericana,18,24,75.00
May,2017,TRES CIUDADES,891,1338,66.59
May,2017,Trade Radio,30,135,22.22
May,2017,Trend Topic,1095,1815,60.33
May,2017,UNC CALF,393,978,40.18
May,2017,UNLP AM,2052,5559,36.91
May,2017,UNLP FM,5247,9954,52.71
May,2017,Uba,357,789,45.25
May,2017,Univ. Nacional Arturo Jauretche,312,825,37.82
May,2017,Universal,366,837,43.73
May,2017,Universidad Nacional de Cuyo,465,702,66.24
May,2017,Universidad Nacional de Rosario,2937,6135,47.87
May,2017,Universidad de Avellaneda (UNDAV),294,879,33.45
May,2017,Universidad de Córdoba,4266,8532,50.00
May,2017,Universidad de la Matanza,15,66,22.73
May,2017,Unión Radio,42,102,41.18
May,2017,Uno,14670,25488,57.56
May,2017,Urbana (NQN),6,21,28.57
May,2017,Visión FM 100.5,48,96,50.00
May,2017,Vorterix Córdoba,0,15,0.00
May,2017,Vorterix Rock,5376,13098,41.04
May,2017,Vox,36,75,48.00
May,2017,WAVRADIO,120,360,33.33
May,2017,Wen,162,531,30.51
May,2017,Wox,27,99,27.27
May,2017,radio olazabal,684,930,73.55
May,2017,Éxitos,1761,2949,59.72
Nov,2016,1010 AM,8508,14511,58.63
Nov,2016,88.1 Adulto Joven,6,18,33.33
Nov,2016,91.5 WUML Lowell,6,30,20.00
Nov,2016,AM 1330,15,42,35.71
Nov,2016,AM 750,113115,259512,43.59
Nov,2016,AM 890,132,357,36.97
Nov,2016,AM1010 Onda Latina,201,357,56.30
Nov,2016,AMPM FM,1245,2511,49.58
Nov,2016,Ahijuna,2607,5220,49.94
Nov,2016,Alas,2577,3648,70.64
Nov,2016,Amadeus Cultura Musical,42,144,29.17
Nov,2016,America,846,2109,40.11
Nov,2016,Aspen,33,96,34.38
Nov,2016,Azul,225,591,38.07
Nov,2016,Belgrano AM 950,3939,15891,24.79
Nov,2016,BitBox FM,42,60,70.00
Nov,2016,Blue,3060,9420,32.48
Nov,2016,Boedo,276,639,43.19
Nov,2016,Candela Pura,3,12,25.00
Nov,2016,Cielo,642,1242,51.69
Nov,2016,Citrica,255,639,39.91
Nov,2016,Classique,18,57,31.58
Nov,2016,Colmena,135,369,36.59
Nov,2016,Con Vos,72945,154308,47.27
Nov,2016,Concepto,6372,14574,43.72
Nov,2016,Conexión Abierta,447,1230,36.34
Nov,2016,Continental,14841,32841,45.19
Nov,2016,Continental (Córdoba),69,174,39.66
Nov,2016,Cooperativa,10737,20943,51.27
Nov,2016,Cultura,2943,8502,34.62
Nov,2016,De la Azotea,87,99,87.88
Nov,2016,Del Plata,138264,419163,32.99
Nov,2016,Del Sol,3,18,16.67
Nov,2016,Delta,27,135,20.00
Nov,2016,Deportiva,57,198,28.79
Nov,2016,Disney,123,219,56.16
